output_id,QUANTITY,azot_sec,lod,lla_tel,lla_sec,xa_dry,xa_tel,PH,absorbance,ratio_xa_lla(sec),adn_weighted,lod_weighted,PH_weighted,coag_dry_weighted,YIELD_VALUE
121844P10444,191.2,2.052578362,2.5,183.0,190.721649485,195.14661274,183.0,6.8,0.06892,1.066298343,1.13951,2.0346100000000003,6.92098,172.80008529518932,1.372467117
121820P10450,244.8,2.052578362,2.5,187.0,184.917355372,197.757390418,192.0,6.87,0.06892,1.066298343,1.5477836666666664,3.4344416666666664,6.900526,172.95449126948057,1.139384673
122803P10450,246.65,2.052578362,2.5,187.0,184.917355372,197.757390418,187.0,6.87,0.061,1.066298343,0.6759483333333334,2.8771488,6.9120550000000005,168.11583747541934,1.14831288
122800P10450,242.75,2.113821138,2.9,183.0,188.139059305,195.14661274,193.0,6.6,0.047,1.066298343,1.258068,2.6318176666666666,6.983260866666667,169.97815968769584,1.146060037
122812P10444,201.45,2.052578362,2.5,183.0,190.721649485,192.783505155,186.0,6.87,0.06892,1.066298343,0.52461,2.83441,7.04098,181.6859180037762,1.298166397
121821P10450,206.95,2.13190184,2.3,183.0,186.544342508,196.098562628,183.0,6.59,0.0558,1.042553191,0.5486223333333333,2.600098666666667,6.921623266666667,173.07242386008562,1.181830487
122816P10444,161.95,2.052578362,2.5,183.0,190.721649485,195.14661274,183.0,6.9,0.06892,1.066298343,0.7425866666666666,3.2212933333333336,6.874448,142.51550427541974,1.522965016
122818P10444,179.71,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.0,1.07391,3.2367599999999994,6.798972,182.0486242985688,1.495911058
120934P10446,150.5,2.1,2.9,183.0,195.320447609,195.14661274,192.0,6.6,0.047,1.066298343,0.7761966666666666,3.8045999999999998,6.81111,174.72934355889652,1.36092226
120928P10449,285.44,2.052578362,2.2,183.0,183.01314459,195.14661274,183.0,6.7,0.055,1.06010929,1.1775849999999999,2.172667,6.905130266666667,175.46569066495223,1.051306135
120934P10444,165.3,2.124352332,2.7,193.0,186.544342508,197.757390418,194.0,6.8,0.0449,1.02173913,0.45021333333333335,2.4,6.8498719999999995,177.72463607424774,1.346610041
120937P10449,251.7,2.113821138,1.7,188.0,189.989785495,197.530864197,192.0,6.7,0.0562,1.028248588,0.7813076666666666,2.1851126666666665,6.906988666666667,172.79368180910424,1.080793052
121836P10444,177.9,2.113821138,2.3,193.0,183.01314459,197.757390418,184.0,6.87,0.064,1.02173913,1.0599466666666668,2.0249333333333333,6.764986666666667,175.84980073069121,1.424269148
121838P10444,195.3,2.106415479,2.6,187.0,188.391038697,196.098562628,191.0,6.6,0.0562,1.011111111,1.2607866666666667,1.5921333333333336,6.8,184.3890105661912,1.443301726
122787P10443,211.22,2.052578362,2.5,187.0,184.917355372,192.229038855,192.0,6.87,0.06892,1.066298343,3.134513333333333,1.9096673333333332,6.882533266666666,173.62910808550973,1.27952416
122788P10443,215.1,2.052578362,2.5,187.0,184.917355372,192.229038855,187.0,6.87,0.061,1.066298343,1.0131245836109262,3.739840106595603,6.879413724183878,166.17357791069153,1.207601892
122795P10450,211.45,2.1,3.2,183.0,190.721649485,199.796126402,196.0,6.9,0.06892,1.005154639,1.7609940000000002,3.5667903333333335,6.858933933333334,173.5496529229916,1.190442244
122796P10450,243.73,2.113821138,2.3,193.0,183.01314459,197.757390418,184.0,6.87,0.064,1.02173913,1.3404123333333333,3.4920256666666667,7.0590208,173.63811547434523,1.137099073
120928P10446,165.62,2.052578362,2.5,187.0,183.01314459,195.14661274,196.0,6.7,0.036,1.032608696,1.47758,4.176253333333333,7.381866666666666,173.33174458746782,1.324041763
122797P10450,263.88,2.124352332,1.5,187.0,186.544342508,184.882533197,191.0,6.6,0.0558,1.010362694,1.564499,2.8502118,6.997387833333333,173.91261098249836,1.139581201
120942P10444,178.5,2.1,2.7,193.0,186.544342508,184.882533197,194.0,6.8,0.0449,1.02173913,0.3458133333333333,3.882386666666666,6.888546666666666,172.47049911305825,1.465983455
120944P10444,164.3,2.052578362,1.6,187.0,186.544342508,197.757390418,194.0,6.7,0.047,1.005102041,0.9,3.1,6.78,177.072671443,1.499152622
120943P10444,178.2,2.1,3.2,183.0,195.320447609,195.14661274,189.0,6.6,0.064,0.9945945946,0.7085733333333333,2.2385800000000002,6.799142666666667,178.8567046849345,1.461560962
121831P10449,225.1,2.1,2.5,186.0,186.335403727,188.405797101,182.0,6.7,0.045,1.043956044,2.010665,2.7615106666666667,6.8849358,179.47106945378474,1.112655378
122820P10444,187.6,2.052578362,2.5,187.0,184.917355372,197.757390418,187.0,6.87,0.06066,1.066298343,1.8767333333333331,2.8383666666666665,6.8999999999999995,175.92209264282326,1.496573614
122821P10444,205.55,2.052578362,2.9,187.0,186.544342508,195.14661274,193.0,6.7,0.047,1.066298343,0.9349066666666667,2.4569566666666667,6.908136666666667,170.8617155003989,1.490812906
121832P10449,266.2,2.106415479,2.6,183.0,190.721649485,192.783505155,196.0,6.6,0.064,1.011111111,0.9971479999999999,3.1404216666666667,6.9851908,167.1936710436662,1.090459557
121842P10449,267.66,2.1,3.2,183.0,190.721649485,199.796126402,196.0,6.9,0.06892,1.005154639,1.0875646666666667,3.2806554666666665,6.892854533333334,174.50001700963537,1.106142514
122804P10450,244.65,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.0,1.4204483333333333,2.223956333333333,6.896587766666667,160.63015421026768,1.190523743
121844P10449,267.16,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.87,0.06066,1.066298343,0.9193986666666667,2.789679,6.85678,177.58243525921236,1.076754352
121845P10449,239.0,2.1,1.9,187.0,188.391038697,196.098562628,191.0,6.6,0.0562,1.011111111,1.059456,2.927752,6.947563533333334,175.75491698049643,1.123580173
120941P10444,179.6,2.052578362,1.1,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.066298343,0.3,4.1,6.9,171.634121274,1.437449398
120938P10449,267.9,2.113821138,2.3,188.0,189.989785495,197.530864197,192.0,6.7,0.0562,1.028248588,0.9936079999999999,2.835332,6.877754666666667,171.33504368642775,1.121698659
122802P10450,252.83,2.052578362,2.6,187.0,184.917355372,192.229038855,187.0,6.87,0.061,1.005102041,1.0194166666666666,2.846000666666667,6.9063032,175.5533022765148,1.107598922
120930P10446,209.63,2.052578362,1.6,187.0,186.544342508,196.93877551,194.0,6.87,0.047,1.005102041,1.1884799999999998,2.818023333333333,6.925393333333333,174.52049889511449,1.356330013
121822P10450,227.9,2.113821138,2.3,188.0,188.139059305,197.530864197,192.0,6.7,0.0562,1.028248588,1.5676763333333332,2.7189300666666667,6.918915566666667,176.33926436856046,1.162431867
122828P10449,248.55,2.052578362,2.5,183.0,190.721649485,195.14661274,183.0,6.8,0.06892,1.066298343,0.7952343333333334,2.1360216666666667,6.883880333333334,172.39130274648,1.105905284
122829P10449,242.34,2.052578362,2.5,183.0,190.721649485,192.783505155,186.0,6.8,0.06892,1.066298343,1.1184103333333333,2.576637,6.908546,175.35674466947833,1.134234444
120932P10444,174.9,2.052578362,2.5,187.0,184.917355372,197.757390418,187.0,6.87,0.06066,1.066298343,0.52576,2.1556800000000003,6.918560000000001,178.9685602767888,1.408540275
120937P10444,181.1,2.052578362,2.5,183.0,190.721649485,192.783505155,186.0,6.87,0.06892,1.066298343,0.6244266666666667,2.6539133333333336,6.869217333333333,169.57839291816313,1.312789743
120935P10449,224.2,2.113821138,2.7,188.0,192.893401015,196.098562628,192.0,6.7,0.0562,1.028248588,1.2582666666666666,3.0613976666666667,6.980379266666667,175.7225571981161,1.02777519
121830P10449,251.0,2.13190184,2.3,183.0,186.544342508,196.098562628,183.0,6.59,0.0558,1.042553191,1.5114433333333332,3.0807743333333333,7.0009836666666665,177.21149444354486,1.118516706
120930P10449,251.9,2.113821138,2.3,193.0,183.01314459,197.757390418,184.0,6.87,0.064,1.010362694,1.3612273333333333,2.561603,6.890732533333333,171.76811908851775,1.043462286
121818P10450,221.1,2.1,2.9,183.0,195.320447609,195.14661274,192.0,6.6,0.064,1.066298343,1.276967,3.499372466666667,6.846411866666667,168.16956053593233,1.252848825
121824P10450,246.65,2.052578362,1.6,187.0,186.544342508,197.757390418,182.0,6.7,0.047,1.005102041,1.1401026666666667,3.238483733333333,6.920658866666667,180.58876441933012,1.163167187
120928P10444,163.2,2.052578362,2.5,187.0,189.847715736,197.757390418,187.0,6.87,0.06066,1.066298343,0.7295666666666666,2.1473233333333335,7.03903,181.14645606565534,1.275752586
120932P10446,182.8,2.1,2.6,183.0,190.721649485,196.098562628,196.0,6.9,0.033,1.005154639,1.22675,3.708473333333333,7.030405999999999,170.6843962697873,1.335753373
121816P10450,215.7,2.1,3.2,183.0,195.320447609,195.14661274,189.0,6.6,0.064,0.9945945946,2.256417,2.8402036666666666,7.054839566666667,164.5411623351658,1.192791155
121841P10444,113.3,2.2,2.9,183.0,190.721649485,192.783505155,196.0,6.9,0.064,1.011111111,1.3566866666666666,1.88024,6.8,172.99218489360234,1.412765045
122813P10444,216.35,2.1,3.2,183.0,190.721649485,199.796126402,183.0,6.9,0.06892,1.0,1.05031,2.3109733333333335,6.900000000000001,174.67130856822754,1.280103516
122814P10444,198.4,2.1,3.2,183.0,190.721649485,199.796126402,196.0,6.9,0.06892,1.005154639,0.47303000000000006,2.7460600000000004,6.9,150.0920165484369,1.29579961
121837P10449,254.15,2.1,1.6,193.0,188.139059305,184.346035015,187.0,6.7,0.033,1.0,0.9983936666666666,2.590105,6.887853000000001,173.86624977947028,1.074438628
123711P10444,179.55,2.052578362,2.5,187.0,184.917355372,197.757390418,187.0,6.87,0.061,1.066298343,0.22285000000000002,3.1045700000000007,6.995430000000001,179.341952851166,1.419584992
121826P10449,266.3,2.1,3.2,183.0,190.721649485,199.796126402,196.0,6.9,0.06892,1.005154639,1.333842214159782,2.8689982153559983,6.901984125249523,171.57813584223217,1.08640852
122827P10449,260.05,2.1,3.2,183.0,190.721649485,199.796126402,183.0,6.9,0.06892,1.0,1.4637159999999998,2.2778953333333334,6.9192825000000004,174.99301592411263,1.123532971
121840P10444,88.2,2.052578362,2.5,187.0,189.847715736,195.272353546,196.0,6.72,0.06066,1.0,1.3566866666666666,1.88024,6.8,172.99218489360234,1.469916176
121842P10444,178.2,2.052578362,1.6,187.0,186.544342508,197.757390418,194.0,6.87,0.0449,1.005102041,1.25094,2.7478066666666665,6.899373333333333,172.12763833046887,1.47027713
122815P10449,232.8,2.052578362,1.6,177.0,183.01314459,195.14661274,196.0,6.7,0.036,1.032608696,1.2210536666666667,2.1428960666666668,6.888174266666667,165.41635723808275,1.057461702
122817P10449,269.5,2.1,1.6,193.0,188.139059305,188.601036269,182.0,6.9,0.033,1.0,1.4413396666666667,2.2675490000000003,6.878726866666667,175.44231543926256,1.109737949
120935P10444,171.1,2.124352332,2.3,193.0,183.01314459,197.757390418,184.0,6.8,0.064,1.02173913,2.1698663101604274,2.508930481283422,6.836251336898395,164.24839243095198,1.299432084
120936P10449,240.0,2.052578362,2.3,193.0,183.01314459,197.757390418,184.0,6.87,0.064,1.010362694,0.6723643333333333,2.852827,6.893330066666667,174.3316069969974,1.096266724
120932P10449,250.0,2.1,1.1,188.0,193.449334698,188.601036269,192.0,6.7,0.06892,1.011111111,2.04432,2.926577866666667,6.9129131,168.9638673412717,1.035355434
120934P10449,252.7,2.1,3.2,183.0,190.721649485,196.098562628,196.0,6.9,0.033,1.005154639,0.8744316666666667,3.0238773333333335,6.908899666666667,174.73335604384525,1.056216266
121814P10450,208.0,2.2,2.9,183.0,190.721649485,192.783505155,196.0,6.9,0.033,1.011111111,1.4760676666666668,3.2040443333333335,7.0018038,172.20174168770615,1.202593954
122801P10450,244.25,2.106415479,2.6,183.0,190.721649485,192.783505155,196.0,6.6,0.064,1.011111111,1.162611,2.1947546666666664,6.909362733333333,174.95898288922095,1.143171306
121833P10444,172.7,2.1,3.2,183.0,190.721649485,199.796126402,196.0,6.9,0.06892,1.005154639,2.04366,2.90854,6.973690666666666,167.46354102039334,1.453866262
121825P10449,228.2,2.13190184,2.2,179.0,186.544342508,197.757390418,194.0,6.6,0.047,1.057894737,0.6839500000000001,2.02853457419776,6.932090866666667,172.6483431181841,1.060529308
120945P10444,163.0,2.052578362,1.8,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.066298343,0.22039333333333333,3.1,6.702330666666667,181.4977608493879,1.458543402
121831P10444,174.8,2.052578362,3.2,183.0,190.721649485,195.14661274,183.0,6.9,0.06892,1.066298343,2.783513333333333,3.36726,6.878173333333334,139.76391345164558,1.513887358
122814P10449,277.2,2.124352332,1.6,192.0,195.320447609,188.601036269,192.0,6.58,0.06066,1.011111111,1.2126970000000001,3.1852756,6.9203285333333335,175.44775971967863,1.059342065
121829P10449,254.1,2.052578362,2.5,183.0,190.721649485,192.783505155,183.0,6.8,0.06892,1.066298343,1.13405,2.3024436666666666,6.880666,175.93474651338047,1.050999622
120936P10444,174.7,2.124352332,1.5,187.0,186.544342508,184.882533197,191.0,6.6,0.0558,1.010362694,1.9260266666666666,2.8459333333333334,6.840976,158.32087808615628,1.325302972
120938P10444,190.3,2.124352332,2.3,193.0,186.544342508,197.757390418,188.0,6.8,0.0449,1.02173913,1.23088,2.1636,6.934559999999999,166.69536476156082,1.373340043
121828P10449,243.1,2.052578362,2.5,183.0,190.721649485,192.783505155,186.0,6.8,0.06892,1.066298343,1.24652,2.3571366666666664,6.934949666666666,179.58653445034932,1.061667403
121835P10449,252.55,2.052578362,1.6,187.0,186.544342508,197.757390418,194.0,6.7,0.047,1.005102041,0.9871053333333333,2.2956102,6.9816256,177.7121435497284,1.104231081
120930P10444,175.7,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.066298343,1.1991999999999998,1.6405599999999998,6.776304,168.75982015878958,1.395169453
121827P10449,233.0,2.052578362,2.5,183.0,190.721649485,192.783505155,192.0,6.87,0.06892,1.066298343,1.4112166666666668,2.3105623333333334,6.911806866666667,174.36953247275858,1.088523165
122826P10449,225.7,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.066298343,1.2608853333333334,2.308404,6.9571818,172.8311558934651,1.124211102
122821P10449,270.6,2.052578362,2.6,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.005102041,0.9480153333333333,2.6179613333333336,6.920395666666667,166.43155310734355,1.094242763
122819P10449,236.9,2.052578362,2.5,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.066298343,1.2822209999999998,2.0071126666666665,6.911069966666666,175.0746116798915,1.063159511
121832P10444,184.6,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.066298343,1.1427200000000002,2.0951466666666665,6.965242666666668,166.84812078193494,1.496150383
